year,month,status,draw_count,error_message
2014,2,success,8,
2014,3,success,9,
2014,4,success,7,
2014,5,success,9,
2014,6,success,9,
2014,7,success,9,
2014,8,success,9,
2014,9,success,7,
2014,10,success,9,
2014,11,success,9,
2014,12,success,7,
2015,1,success,6,
2015,2,success,8,
2015,3,success,9,
2015,4,success,9,
2015,5,success,9,
2015,6,success,8,
2015,7,success,9,
2015,8,success,9,
2015,9,success,7,
2015,10,success,9,
2015,11,success,9,
2015,12,success,7,
2016,1,success,8,
2016,2,success,8,
2016,3,success,9,
2016,4,success,7,
2016,5,success,9,
2016,6,success,9,
2016,7,success,9,
2016,8,success,8,
2016,9,success,9,
2016,10,success,9,
2016,11,success,8,
2016,12,success,7,
2017,1,success,8,
2017,2,success,8,
2017,3,success,9,
2017,4,success,8,
2017,5,success,8,
2017,6,success,9,
2017,7,success,9,
2017,8,success,9,
2017,9,success,7,
2017,10,success,9,
2017,11,success,9,
2017,12,success,8,
2018,1,success,8,
2018,2,success,8,
2018,3,success,9,
2018,4,success,8,
2018,5,success,9,
2018,6,success,8,
2018,7,success,9,
2018,8,success,9,
2018,9,success,9,
2018,10,success,8,
2018,11,success,9,
2018,12,success,8,
2019,1,success,8,
2019,2,success,8,
2019,3,success,9,
2019,4,success,7,
2019,5,success,9,
2019,6,success,9,
2019,7,success,8,
2019,8,success,9,
2019,9,success,9,
2019,10,success,9,
2019,11,success,8,
2019,12,success,8,
2020,1,success,8,
2020,2,success,8,
2020,3,success,6,
2020,4,success,0,
2020,5,success,0,
2020,6,success,3,
2020,7,success,9,
2020,8,success,9,
2020,9,success,8,
2020,10,success,9,
2020,11,success,9,
2020,12,success,8,
2021,1,success,9,
2021,2,success,8,
2021,3,success,8,
2021,4,success,8,
2021,5,success,9,
2021,6,success,8,
2021,7,success,9,
2021,8,success,9,
2021,9,success,9,
2021,10,success,9,
2021,11,success,8,
2021,12,success,7,
2022,1,success,8,
2022,2,success,7,
2022,3,success,9,
2022,4,success,7,
2022,5,success,9,
2022,6,success,9,
2022,7,success,9,
2022,8,success,8,
2022,9,success,9,
2022,10,success,9,
2022,11,success,8,
2022,12,success,7,
2023,1,success,8,
2023,2,success,8,
2023,3,success,9,
2023,4,success,8,
2023,5,success,8,
2023,6,success,9,
2023,7,success,9,
2023,8,success,9,
2023,9,success,8,
2023,10,success,9,
2023,11,success,8,
2023,12,success,8,
2024,1,success,8,
2024,2,success,9,
2024,3,success,9,
2024,4,success,8,
2024,5,success,8,
2024,6,success,9,
2024,7,success,8,
2024,8,success,9,
2024,9,success,9,
2024,10,success,9,
2024,11,success,8,
2024,12,success,8,
2025,1,success,8,
2025,2,success,8,
2025,3,success,9,
2025,4,success,7,
2025,5,success,9,
2025,6,success,9,
2025,7,success,9,
2025,8,success,9,
2025,9,success,8,
2025,10,success,9,
2025,11,success,9,
2025,12,success,7,
2026,1,success,8,
2026,2,success,8,
2026,3,success,9,
2026,4,success,8,
2026,5,success,9,
2026,6,success,8,
2026,7,success,5,
